index, name, driver_version, memory.total [MiB]
0, NVIDIA GeForce RTX 3090, 580.173.02, 24576 MiB
1, NVIDIA GeForce RTX 3090, 580.173.02, 24576 MiB
2, NVIDIA GeForce RTX 3090, 580.173.02, 24576 MiB
3, NVIDIA GeForce RTX 3090, 580.173.02, 24576 MiB
